Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
Squeak & Rattle : Planche de bord & Consoles;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Planche de Bord;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Crash/RCAR : Sensoric and Restraint Systems (Airbags, Seatbelts,..) Calibration;Crash Grande Vitesse et Petite Vitesse;MG2 CAE;Synthèse;;Toutes destinations;Moyens de Retenue et Capteurs;Airbags, Ceintures, radars;Toutes catégories;Numérique;30%%;NC;Développement;NC;;;Non;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Rollover FMVSS301;Choc Ecrasement de Toit;MG2 CAE;Synthèse;;US;Sécurité Passive;Résistance de Toit;Toutes catégories;Numérique;30%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Mechanical Strength/Stifness, Endurance Body;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;75%;NC;Développement;NC;;;Non;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Endurance Roulage;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;25%;NC;Développement;NC;;;Non;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Underbody & Battery Rack Sidewalk;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;30%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Vibration Capot;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;25%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Durability, Strength and Misuse Body;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Non;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Durability, Strength and Misuse Openings;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Vue latérale (Side view);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
Durability, Strength and Misuse Front & Rear Face;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Face avant & Face arrière;Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
Durability, Strength and Misuse Front & Rear Beams;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Essai CEM véhicule d'homologation;RESIST TO ELECTRO-MAGNETIC ENVIRONMENT;MG2 - DMA CAP-P part;Synthèse;X;pays européen;"émissions électromagnétiques (EMI)
immunité électromagnétique (EMS)";CEM;Toutes catégories;Physique ;30%;TBD;Développement;0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test) + 14 °_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;75.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
