Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
USNCAP Choc Latéral Barrière MDB 61,9km/h;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;US;Sécurité Passive;Structure;Toutes catégories;Numérique;40%;NC;Développement;NC;;;Non;Vue latérale (Side view);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
USNCAP Choc Latéral Poteau Rigide 32,2km/h D254mm;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;US;Sécurité Passive;Structure;Toutes catégories;Numérique;40%;NC;Développement;NC;;;Non;Vue latérale (Side view);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
USNCAP Choc Latéral Barrière Déformable MDB_NHTSA 61,9km/h;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;US;Sécurité Passive;Structure;Toutes catégories;Numérique;40%;NC;Développement;NC;;;Non;Vue latérale (Side view);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
KNCAP Choc Latéral Barrière Déformable AE-MDB 1400kg 60km/h;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;Korée;Sécurité Passive;Structure;Toutes catégories;Numérique;10%;NC;Développement;NC;;;Non;Vue latérale (Side view);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
CIASI Choc Frontal SMO 64,4km/h 25%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Chine;Sécurité Passive;Structure;Toutes catégories;Numérique;25%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
CIASI Choc Latéral Barrière MDB_IIHS 1500kg 50km/h;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;Chine;Sécurité Passive;Structure;Toutes catégories;Numérique;25%;NC;Développement;NC;;;Oui;Face latérale & Face avant;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
CNCAP Choc Frontal Barrière MPDB 1400kg 50km/h 50%;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;Chine;Sécurité Passive;Structure;Toutes catégories;Numérique;10%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
KNCAP Choc Frontal Barrière MPDB 1400kg 50km/h 50%;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;Korée;Sécurité Passive;Structure;Toutes catégories;Numérique;10%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
JNCAP Choc Frontal Barrière MPDB 1200kg 50km/h 50%;Choc Latéral Grande Vitesse;MG2 CAE;Synthèse;X;Japan;Sécurité Passive;Structure;Toutes catégories;Numérique;10%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
ECER21 Choc Frontal Pulse 50km/h;Choc Frontal Pulse;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Bioméchanique;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Face avant & Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
